"meta_id"	"user_id"	"screen_name"	"moc_117"	"moc_116"	"pundit"	"covid_elite"	"president"	"media"	"candidate"	"governor"	"official"
"MH11721972"	"391445643"	"HaleyLive"	1	1	0	0	0	0	0	0	0
"MH11721971"	"1083125649609506816"	"RepGregSteube"	1	1	0	0	0	0	0	0	0
"MH11721970"	"1075205691621720064"	"RepBryanSteil"	1	1	0	0	0	0	0	0	0
"MH11721969"	"1075830599007510535"	"RepPeteStauber"	1	1	0	0	0	0	0	0	0
"MH11721968"	"1080885078425784320"	"RepGregStanton"	1	1	0	0	0	0	0	0	0
"MH11721966"	"1078771401497161728"	"RepSpanberger"	1	1	0	0	0	0	0	0	0
"MH11721966"	"882958562296819714"	"SpanbergerVA07"	1	1	0	0	0	0	0	0	0
"MH11721965"	"1078401427347857408"	"RepSlotkin"	1	1	0	0	0	0	0	0	0
"MH11721964"	"1080569698536878081"	"RepSherrill"	1	1	0	0	0	0	0	0	0
"MH11721962"	"1080462532815532032"	"RepKimSchrier"	1	1	0	0	0	0	0	0	0
"MH11721961"	"1082790600292925440"	"RepChipRoy"	1	1	0	0	0	0	0	0	0
"MH11721961"	"1257667158"	"chiproytx"	1	1	0	0	0	0	0	0	0
"MH11721959"	"1081312310059253763"	"RepJohnRose"	1	1	0	0	0	0	0	0	0
"MH11721956"	"4205133682"	"GReschenthaler"	1	1	0	0	0	0	0	0	0
"MH11721955"	"1080584229510172678"	"RepPressley"	1	1	0	0	0	0	0	0	0
"MH11721955"	"31013444"	"AyannaPressley"	1	1	0	1	0	0	0	0	0
"MH11721954"	"1081222837459996672"	"RepKatiePorter"	1	1	0	1	0	0	0	0	0
"MH11721954"	"617266600"	"katieporteroc"	1	1	0	1	0	0	0	0	0
"MH11721953"	"1061310112013434882"	"RepDeanPhillips"	1	1	0	0	0	0	0	0	0
"MH11721952"	"1082369392229400576"	"RepGregPence"	1	1	0	0	0	0	0	0	0
"MH11721951"	"1067748650485497862"	"RepChrisPappas"	1	1	0	0	0	0	0	0	0
"MH11721951"	"574799823"	"ChrisPappasNH"	1	1	0	0	0	0	0	0	0
"MH11721950"	"1082334352711790593"	"Ilhan"	1	1	0	1	0	0	0	0	0
"MH11721950"	"783792992"	"IlhanMN"	1	1	0	1	0	0	0	0	0
"MH11721949"	"1079104563280527364"	"RepAOC"	1	1	0	0	0	0	0	0	0
"MH11721949"	"138203134"	"AOC"	1	1	0	1	0	0	0	0	0
"MH11721948"	"1078749802765139968"	"RepJoeNeguse"	1	1	0	0	0	0	0	0	0
"MH11721948"	"1542372750"	"JoeNeguse"	1	1	0	0	0	0	0	0	0
"MH11721946"	"1081318716573470720"	"RepCarolMiller"	1	1	0	0	0	0	0	0	0
"MH11721945"	"1080574793630527505"	"RepMeuser"	1	1	0	0	0	0	0	0	0
"MH11721944"	"1082380458976051202"	"RepLucyMcBath"	1	1	0	0	0	0	0	0	0
"MH11721942"	"1080898026418384897"	"RepMalinowski"	1	1	0	0	0	0	0	0	0
"MH11721942"	"811239440916054016"	"Malinowski"	1	1	0	0	0	0	0	0	0
"MH11721941"	"1080292515939565568"	"RepElaineLuria"	1	1	0	0	0	0	0	0	0
"MH11721940"	"1080277407867772930"	"RepAndyLevin"	1	1	0	0	0	0	0	0	0
"MH11721939"	"1072134139560620033"	"RepMikeLevin"	1	1	0	0	0	0	0	0	0
"MH11721939"	"14573926"	"MikeLevin"	1	1	0	0	0	0	0	0	0
"MH11721938"	"1079061579973439488"	"RepSusieLee"	1	1	0	0	0	0	0	0	0
"MH11721937"	"1078771848882593793"	"RepAndyKimNJ"	1	1	0	0	0	0	0	0	0
"MH11721936"	"1082311988926124036"	"RepJohnJoyce"	1	1	0	0	0	0	0	0	0
"MH11721935"	"1074782372594413569"	"RepDustyJohnson"	1	1	0	0	0	0	1	0	0
"MH11721934"	"1052896620797460481"	"RepHoulahan"	1	1	0	0	0	0	0	0	0
"MH11721931"	"1082086081238102018"	"RepJahanaHayes"	1	1	0	0	0	0	0	0	0
"MH11721930"	"1080851152151953410"	"RepJoshHarder"	1	1	0	0	0	0	0	0	0
"MH11721929"	"1083474782602125318"	"RepHagedorn"	1	1	0	0	0	0	0	0	0
"MH11721928"	"286476728"	"DebHaalandNM"	1	1	0	0	0	0	0	0	0
"MH11721928"	"1080695666760929280"	"RepDebHaaland"	1	1	0	0	0	0	0	0	0
"MH11721927"	"1081243468327018496"	"RepMichaelGuest"	1	1	0	0	0	0	0	0	0
"MH11721926"	"1080477288955826176"	"RepMarkGreen"	1	1	0	0	0	0	0	0	0
"MH11721925"	"1029094268542099457"	"Lancegooden"	1	1	0	0	0	0	0	0	0
"MH11721924"	"1054381765224210432"	"RepAGonzalez"	1	1	0	0	0	0	0	0	0
"MH11721923"	"1080891667308298240"	"RepGolden"	1	1	0	0	0	0	0	0	0
"MH11721922"	"1080587263132733442"	"RepSylviaGarcia"	1	1	0	0	0	0	0	0	0
"MH11721921"	"1082427779583541248"	"RepChuyGarcia"	1	1	0	0	0	0	0	0	0
"MH11721920"	"1078741899572240384"	"RepRussFulcher"	1	1	0	0	0	0	0	0	0
"MH11721919"	"1075904377221722113"	"RepFletcher"	1	1	0	0	0	0	0	0	0
"MH11721917"	"1075517806551154689"	"RepEscobar"	1	1	0	0	0	0	0	0	0
"MH11721917"	"38960144"	"vgescobar"	1	1	0	0	0	0	0	0	0
