"","user_id","handle","voteview_id","type","icpsr","bioname","party_code","cqlabel","state_abbrev","chamber","seo_name","district_code","nominate.dim1"
"141",82453460,"benniegthompson","MH11629368","congress",29368,"THOMPSON, Bennie",100,"(MS-02)","MS","House","bennie-thompson",2,-0.516
"142",84119348,"reppaultonko","MH11620934","congress",20934,"TONKO, Paul",100,"(NY-20)","NY","House","paul-tonko",20,-0.42
"143",85396297,"repjoecourtney","MH11620706","congress",20706,"COURTNEY, Joe",100,"(CT-02)","CT","House","joe-courtney",2,-0.344
"144",87510313,"tammybaldwin","MS11629940","congress",29940,"BALDWIN, Tammy",100,"(WI)","WI","Senate","tammy-baldwin",0,-0.498
"145",88784440,"senmikelee","MS11641110","congress",41110,"LEE, Mike",200,"(UT)","UT","Senate","mike-lee",0,0.913
"146",88806753,"repgaramendi","MH11620958","congress",20958,"GARAMENDI, John",100,"(CA-03)","CA","House","john-garamendi",3,-0.309
"147",90639372,"repdwightevans","MH11621566","congress",21566,"EVANS, Dwight",100,"(PA-03)","PA","House","dwight-evans",3,-0.453
"148",91125308,"benraylujan","MH11620932","congress",20932,"LUJ́N, Ben Ray",100,"(NM-03)","NM","House","ben-ray-lujan",3,-0.367
"149",92186819,"maziehirono","MS11620713","congress",20713,"HIRONO, Mazie",100,"(HI)","HI","Senate","mazie-hirono",0,-0.509
"150",109071031,"senatorcardin","MS11615408","congress",15408,"CARDIN, Benjamin Louis",100,"(MD)","MD","Senate","benjamin-louis-cardin",0,-0.321
"151",109287731,"senatorshaheen","MS11640906","congress",40906,"SHAHEEN, Jeanne",100,"(NH)","NH","Senate","jeanne-shaheen",0,-0.239
"152",109579534,"elisestefanik","MH11621541","congress",21541,"STEFANIK, Elise M",200,"(NY-21)","NY","House","elise-m-stefanik",21,0.221
"153",112740986,"repronkind","MH11629769","congress",29769,"KIND, Ron",100,"(WI-03)","WI","House","ron-kind",3,-0.262
"154",115979444,"dwstweets","MH11620504","congress",20504,"WASSERMAN SCHULTZ, Debbie",100,"(FL-23)","FL","House","debbie-wasserman-schultz",23,-0.421
