""	"candidate_id"	"partyfull"	"name"	"STATE"	"TwitterA"	"TwitterB"	"TwitterA_id"	"TwitterB_id"
156	67957	"Libertarian"	"Jo Jorgensen"	"CO"	"Jorgensen4POTUS"	""	"1176367702543413248"	""
157	67957	"Libertarian"	"Jo Jorgensen"	"CT"	"Jorgensen4POTUS"	""	"1176367702543413248"	""
158	67957	"Libertarian"	"Jo Jorgensen"	"DE"	"Jorgensen4POTUS"	""	"1176367702543413248"	""
159	67957	"Libertarian"	"Jo Jorgensen"	"FL"	"Jorgensen4POTUS"	""	"1176367702543413248"	""
160	67957	"Libertarian"	"Jo Jorgensen"	"GA"	"Jorgensen4POTUS"	""	"1176367702543413248"	""
161	67957	"Libertarian"	"Jo Jorgensen"	"HI"	"Jorgensen4POTUS"	""	"1176367702543413248"	""
162	67957	"Libertarian"	"Jo Jorgensen"	"IA"	"Jorgensen4POTUS"	""	"1176367702543413248"	""
163	67957	"Libertarian"	"Jo Jorgensen"	"ID"	"Jorgensen4POTUS"	""	"1176367702543413248"	""
164	67957	"Libertarian"	"Jo Jorgensen"	"IL"	"Jorgensen4POTUS"	""	"1176367702543413248"	""
165	67957	"Libertarian"	"Jo Jorgensen"	"IN"	"Jorgensen4POTUS"	""	"1176367702543413248"	""
166	67957	"Libertarian"	"Jo Jorgensen"	"KS"	"Jorgensen4POTUS"	""	"1176367702543413248"	""
167	67957	"Libertarian"	"Jo Jorgensen"	"KY"	"Jorgensen4POTUS"	""	"1176367702543413248"	""
168	67957	"Libertarian"	"Jo Jorgensen"	"LA"	"Jorgensen4POTUS"	""	"1176367702543413248"	""
169	67957	"Libertarian"	"Jo Jorgensen"	"MA"	"Jorgensen4POTUS"	""	"1176367702543413248"	""
170	67957	"Libertarian"	"Jo Jorgensen"	"MD"	"Jorgensen4POTUS"	""	"1176367702543413248"	""
171	67957	"Libertarian"	"Jo Jorgensen"	"ME"	"Jorgensen4POTUS"	""	"1176367702543413248"	""
172	67957	"Libertarian"	"Jo Jorgensen"	"MI"	"Jorgensen4POTUS"	""	"1176367702543413248"	""
173	67957	"Libertarian"	"Jo Jorgensen"	"MN"	"Jorgensen4POTUS"	""	"1176367702543413248"	""
174	67957	"Libertarian"	"Jo Jorgensen"	"MO"	"Jorgensen4POTUS"	""	"1176367702543413248"	""
175	67957	"Libertarian"	"Jo Jorgensen"	"MS"	"Jorgensen4POTUS"	""	"1176367702543413248"	""
176	67957	"Libertarian"	"Jo Jorgensen"	"MT"	"Jorgensen4POTUS"	""	"1176367702543413248"	""
177	67957	"Libertarian"	"Jo Jorgensen"	"NC"	"Jorgensen4POTUS"	""	"1176367702543413248"	""
178	67957	"Libertarian"	"Jo Jorgensen"	"ND"	"Jorgensen4POTUS"	""	"1176367702543413248"	""
179	67957	"Libertarian"	"Jo Jorgensen"	"NE"	"Jorgensen4POTUS"	""	"1176367702543413248"	""
180	67957	"Libertarian"	"Jo Jorgensen"	"NH"	"Jorgensen4POTUS"	""	"1176367702543413248"	""
181	67957	"Libertarian"	"Jo Jorgensen"	"NJ"	"Jorgensen4POTUS"	""	"1176367702543413248"	""
182	67957	"Libertarian"	"Jo Jorgensen"	"NM"	"Jorgensen4POTUS"	""	"1176367702543413248"	""
183	67957	"Libertarian"	"Jo Jorgensen"	"NV"	"Jorgensen4POTUS"	""	"1176367702543413248"	""
184	67957	"Libertarian"	"Jo Jorgensen"	"NY"	"Jorgensen4POTUS"	""	"1176367702543413248"	""
185	67957	"Libertarian"	"Jo Jorgensen"	"OH"	"Jorgensen4POTUS"	""	"1176367702543413248"	""
186	67957	"Libertarian"	"Jo Jorgensen"	"OK"	"Jorgensen4POTUS"	""	"1176367702543413248"	""
187	67957	"Libertarian"	"Jo Jorgensen"	"OE"	"Jorgensen4POTUS"	""	"1176367702543413248"	""
188	67957	"Libertarian"	"Jo Jorgensen"	"PA"	"Jorgensen4POTUS"	""	"1176367702543413248"	""
189	67957	"Libertarian"	"Jo Jorgensen"	"RI"	"Jorgensen4POTUS"	""	"1176367702543413248"	""
190	67957	"Libertarian"	"Jo Jorgensen"	"SC"	"Jorgensen4POTUS"	""	"1176367702543413248"	""
191	67957	"Libertarian"	"Jo Jorgensen"	"SD"	"Jorgensen4POTUS"	""	"1176367702543413248"	""
192	67957	"Libertarian"	"Jo Jorgensen"	"TX"	"Jorgensen4POTUS"	""	"1176367702543413248"	""
193	67957	"Libertarian"	"Jo Jorgensen"	"UT"	"Jorgensen4POTUS"	""	"1176367702543413248"	""
194	67957	"Libertarian"	"Jo Jorgensen"	"VA"	"Jorgensen4POTUS"	""	"1176367702543413248"	""
195	67957	"Libertarian"	"Jo Jorgensen"	"VT"	"Jorgensen4POTUS"	""	"1176367702543413248"	""
196	67957	"Libertarian"	"Jo Jorgensen"	"WA"	"Jorgensen4POTUS"	""	"1176367702543413248"	""
197	67957	"Libertarian"	"Jo Jorgensen"	"WI"	"Jorgensen4POTUS"	""	"1176367702543413248"	""
198	67957	"Libertarian"	"Jo Jorgensen"	"WV"	"Jorgensen4POTUS"	""	"1176367702543413248"	""
199	67957	"Libertarian"	"Jo Jorgensen"	"WY"	"Jorgensen4POTUS"	""	"1176367702543413248"	""
200	63564	"Republican"	"Jo Rae Perkins"	"OE"	"PerkinsForUSSen"	""	"90346270"	""
201	1036	"Democrat"	"Joe Biden"	"AK"	"POTUS"	"JoeBiden"	"1349149096909668363"	"939091"
202	1036	"Democrat"	"Joe Biden"	"AL"	"POTUS"	"JoeBiden"	"1349149096909668363"	"939091"
203	1036	"Democrat"	"Joe Biden"	"AR"	"POTUS"	"JoeBiden"	"1349149096909668363"	"939091"
204	1036	"Democrat"	"Joe Biden"	"AZ"	"POTUS"	"JoeBiden"	"1349149096909668363"	"939091"
205	1036	"Democrat"	"Joe Biden"	"CA"	"POTUS"	"JoeBiden"	"1349149096909668363"	"939091"
206	1036	"Democrat"	"Joe Biden"	"CO"	"POTUS"	"JoeBiden"	"1349149096909668363"	"939091"
207	1036	"Democrat"	"Joe Biden"	"CT"	"POTUS"	"JoeBiden"	"1349149096909668363"	"939091"
208	1036	"Democrat"	"Joe Biden"	"DE"	"POTUS"	"JoeBiden"	"1349149096909668363"	"939091"
209	1036	"Democrat"	"Joe Biden"	"FL"	"POTUS"	"JoeBiden"	"1349149096909668363"	"939091"
210	1036	"Democrat"	"Joe Biden"	"GA"	"POTUS"	"JoeBiden"	"1349149096909668363"	"939091"
211	1036	"Democrat"	"Joe Biden"	"HI"	"POTUS"	"JoeBiden"	"1349149096909668363"	"939091"
212	1036	"Democrat"	"Joe Biden"	"IA"	"POTUS"	"JoeBiden"	"1349149096909668363"	"939091"
213	1036	"Democrat"	"Joe Biden"	"ID"	"POTUS"	"JoeBiden"	"1349149096909668363"	"939091"
214	1036	"Democrat"	"Joe Biden"	"IL"	"POTUS"	"JoeBiden"	"1349149096909668363"	"939091"
215	1036	"Democrat"	"Joe Biden"	"IN"	"POTUS"	"JoeBiden"	"1349149096909668363"	"939091"
216	1036	"Democrat"	"Joe Biden"	"KS"	"POTUS"	"JoeBiden"	"1349149096909668363"	"939091"
217	1036	"Democrat"	"Joe Biden"	"KY"	"POTUS"	"JoeBiden"	"1349149096909668363"	"939091"
218	1036	"Democrat"	"Joe Biden"	"LA"	"POTUS"	"JoeBiden"	"1349149096909668363"	"939091"
219	1036	"Democrat"	"Joe Biden"	"MA"	"POTUS"	"JoeBiden"	"1349149096909668363"	"939091"
220	1036	"Democrat"	"Joe Biden"	"MD"	"POTUS"	"JoeBiden"	"1349149096909668363"	"939091"
221	1036	"Democrat"	"Joe Biden"	"ME"	"POTUS"	"JoeBiden"	"1349149096909668363"	"939091"
222	1036	"Democrat"	"Joe Biden"	"MI"	"POTUS"	"JoeBiden"	"1349149096909668363"	"939091"
223	1036	"Democrat"	"Joe Biden"	"MN"	"POTUS"	"JoeBiden"	"1349149096909668363"	"939091"
224	1036	"Democrat"	"Joe Biden"	"MO"	"POTUS"	"JoeBiden"	"1349149096909668363"	"939091"
225	1036	"Democrat"	"Joe Biden"	"MS"	"POTUS"	"JoeBiden"	"1349149096909668363"	"939091"
226	1036	"Democrat"	"Joe Biden"	"MT"	"POTUS"	"JoeBiden"	"1349149096909668363"	"939091"
227	1036	"Democrat"	"Joe Biden"	"NC"	"POTUS"	"JoeBiden"	"1349149096909668363"	"939091"
228	1036	"Democrat"	"Joe Biden"	"ND"	"POTUS"	"JoeBiden"	"1349149096909668363"	"939091"
229	1036	"Democrat"	"Joe Biden"	"NE"	"POTUS"	"JoeBiden"	"1349149096909668363"	"939091"
230	1036	"Democrat"	"Joe Biden"	"NH"	"POTUS"	"JoeBiden"	"1349149096909668363"	"939091"
231	1036	"Democrat"	"Joe Biden"	"NJ"	"POTUS"	"JoeBiden"	"1349149096909668363"	"939091"
232	1036	"Democrat"	"Joe Biden"	"NM"	"POTUS"	"JoeBiden"	"1349149096909668363"	"939091"
233	1036	"Democrat"	"Joe Biden"	"NV"	"POTUS"	"JoeBiden"	"1349149096909668363"	"939091"
234	1036	"Democrat"	"Joe Biden"	"NY"	"POTUS"	"JoeBiden"	"1349149096909668363"	"939091"
235	1036	"Democrat"	"Joe Biden"	"OH"	"POTUS"	"JoeBiden"	"1349149096909668363"	"939091"
236	1036	"Democrat"	"Joe Biden"	"OK"	"POTUS"	"JoeBiden"	"1349149096909668363"	"939091"
237	1036	"Democrat"	"Joe Biden"	"OE"	"POTUS"	"JoeBiden"	"1349149096909668363"	"939091"
238	1036	"Democrat"	"Joe Biden"	"PA"	"POTUS"	"JoeBiden"	"1349149096909668363"	"939091"
239	1036	"Democrat"	"Joe Biden"	"RI"	"POTUS"	"JoeBiden"	"1349149096909668363"	"939091"
240	1036	"Democrat"	"Joe Biden"	"SC"	"POTUS"	"JoeBiden"	"1349149096909668363"	"939091"
241	1036	"Democrat"	"Joe Biden"	"SD"	"POTUS"	"JoeBiden"	"1349149096909668363"	"939091"
242	1036	"Democrat"	"Joe Biden"	"TN"	"POTUS"	"JoeBiden"	"1349149096909668363"	"939091"
243	1036	"Democrat"	"Joe Biden"	"TX"	"POTUS"	"JoeBiden"	"1349149096909668363"	"939091"
244	1036	"Democrat"	"Joe Biden"	"UT"	"POTUS"	"JoeBiden"	"1349149096909668363"	"939091"
245	1036	"Democrat"	"Joe Biden"	"VA"	"POTUS"	"JoeBiden"	"1349149096909668363"	"939091"
246	1036	"Democrat"	"Joe Biden"	"VT"	"POTUS"	"JoeBiden"	"1349149096909668363"	"939091"
247	1036	"Democrat"	"Joe Biden"	"WA"	"POTUS"	"JoeBiden"	"1349149096909668363"	"939091"
248	1036	"Democrat"	"Joe Biden"	"WI"	"POTUS"	"JoeBiden"	"1349149096909668363"	"939091"
249	1036	"Democrat"	"Joe Biden"	"WV"	"POTUS"	"JoeBiden"	"1349149096909668363"	"939091"
250	1036	"Democrat"	"Joe Biden"	"WY"	"POTUS"	"JoeBiden"	"1349149096909668363"	"939091"
251	10206	"Democrat"	"John Carney"	"DE"	"JohnCarneyDE"	"johncarneyforde"	"237770636"	"15136081"
252	367	"Republican"	"John Cornyn"	"TX"	"JohnCornyn"	""	"13218102"	""
253	69477	"Green Party candidate"	"John Fortuin"	"GA"	""	""	""	""
254	60601	"Democrat"	"John Hickenlooper"	"CO"	"Hickenlooper"	"SenatorHick"	"117839957"	"1318728336923787264"
255	67181	"Republican"	"John James"	"MI"	"JohnJamesMI"	""	"861246117689925633"	""
256	69653	"Libertarian"	"John Machurek"	"DE"	""	""	""	""
257	964	"Democrat"	"John Reed"	"RI"	"SenJackReed"	""	"486694111"	""
258	69349	"Alaskan Independence Party candidate"	"John Wayne Howe"	"AK"	""	""	""	""
259	65866	"Democrat"	"Jon Ossoff"	"GA"	"ff"	""	""	""
260	63566	"Republican"	"Joni Ernst"	"IA"	"joniernst"	"SenJoniErnst"	"1383059977"	"2856787757"
261	69450	"Republican"	"Julianne Murray"	"DE"	"urrayforgov"	""	""	""
262	67465	"Libertarian"	"Justin O'Donnell"	"NH"	"ODonnell4NH"	""	"760844792616058880"	""
263	66825	"Democrat"	"Kathleen Williams"	"MT"	"WilliamsForMT"	""	"263345878"	""
264	66922	"Republican"	"Kelly Armstrong"	"ND"	"Armstrong_ND"	"RepArmstrongND"	"964996994623311874"	"1080515866255593472"
265	67977	"Republican"	"Kelly Loeffler"	"GA"	"SenatorLoeffler"	"KLoeffler"	"1200451909406121984"	"29495695"
266	69647	"Libertarian"	"Kerry Douglas McKennon"	"TX"	"McKennon2020"	""	"2809086853"	""
